,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Attachment 3,Flow Rate,Voltage (V),Warranty,Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Application,Fuel Type,Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 4,Connection Type,Diameter,Pressure,Weight,Overheat Protection,Direct / Indirect,Insulation Type,Material,Capacity Litre,Feature 15,Attachment 5,Attachment 6,Output,IP Rating,Mounting Type,BTU h,Connection Size,Energy Efficiency Class,Attachment 7,Style,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Orientation,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Pack Type,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Amps,Position,Pump Type,Watts,Positive / Neutral / Universal,Twin / Single,Size,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Approvals,Operating Pressure,Maximum Operating Temperature,Max System Pressure Cold (Bar),Number of Outlets,Number of Spray Patterns,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Pack Size,Feature 16,Dimensions mm (H x W x D),Feature 17,Feature 18,Feature 19,Water Entry Points
21,P609277,Adey MagnaClean Professional2 filter and chemical pack,Adey,78.0,"Removing almost 100% of the suspended black oxide sludge found in your heating system, the Adey MagnaClean Professional2 filter and chemical pack helps to extend the life of your system and improve efficiency. For easy installation, the dual-action filter can be installed anywhere on the main circuit, although for best protection, it's advised to fit MagnaClean Pro between the last radiator and the boiler.",Offers and promotions/Trade Deals/Trade Deals.csv -> Adey MagnaClean Professional2 filter and chemical pack,,MagnaClean Professional2 filter;MC1 protector;MC3 cleaner,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/77/NW-609277_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P610189,Mitsubishi Ecodan PUZ monobloc unit 6kw,Mitsubishi,2459.9,"Suitable for matching with pre-plumbed cylinders, if desired, the advanced and reliable Mitsubishi Ecodan PUZ 6kW monobloc unit helps engineers to create an efficient alternative to traditional carbon-based heating systems.",Offers and promotions/Trade Deals/Trade Deals.csv -> Mitsubishi Ecodan PUZ monobloc unit 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/610189_610190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P605851,Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,Mitsubishi,1907.18,"A highly flexible solution, the Mitsubishi Ecodan PUZ 5kW air source heat pump unit is suitable for installation in any property type, from smaller dwellings to large size commercial spaces. An efficient alternative to traditionally high carbon heating systems, this ASHP makes use of reliable renewable technology for sustainable space heating and hot water with no need for flues, gas or ventilation.",Offers and promotions/Trade Deals/Trade Deals.csv -> Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/51/605851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P605852,Mitsubishi Ecodan PUZ monobloc ASHP unit 8.5kW,Mitsubishi,2836.84,"Whether it's a small home or a large commercial premises, the Mitsubishi Ecodan PUZ 8.5kW air source heat pump unit is capable of supplying a renewable, low carbon alternative to conventional heating systems. Whatever the conditions outside, this heat pump works efficiently and sustainably to provide reliable heating and hot water to a property using renewable technology for a reduced carbon footprint.",Offers and promotions/Trade Deals/Trade Deals.csv -> Mitsubishi Ecodan PUZ monobloc ASHP unit 8.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/52/NW-605852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P597822,Center Heating 18 Litre Expansion Vessel,Center,31.69,A 18L Center heating expansion vessel.,Offers and promotions/Trade Deals/Trade Deals.csv -> Center Heating 18 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/23/597819_23_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/597822_Center_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/597822_Center_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P597806,Center CB Potable 24944 potable expansion vessel 18 Litre,Center CB,30.0,"This 18L capacity Center CB Potable Expansion Vessel is built especially for use in domestic hot and cold water sanitary sealed systems or heating and refrigeration circuits. Compliant with all relevant directives and constructed of long lasting aluminium with a robust epoxy finish, the non-flow-through expansion vessel safely accommodates volume increases caused by temperature fluctuations.",Offers and promotions/Trade Deals/Trade Deals.csv -> Center CB Potable 24944 potable expansion vessel 18 Litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/07/597804_597807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ss/el/CenterCB_NitrogenCBHeatPotExpVessel.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_597802-597808_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/CenterCB_ExpVessels_TransportInfo.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_597802-597808_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P178137,Prolite Heatpump Unvented 120 ltr Pk,Prolite,880.0,"Offering a capacity of 120L, the UK Cylinders Prolite unvented indirect cylinder supplies high levels of performance and reliability. Delivering fast-flowing water to multiple outlets, this UK-manufactured cylinder promises quick reheat times alongside minimal heat loss for great levels of efficiency. Prolite cylinders are built using highly robust Duplex stainless steel and contain tried-and-tested long life components for uninterrupted use for years to come.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite Heatpump Unvented 120 ltr Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-175022_wm.jpg,,Silver,,N,,,178137 PK,,N,High-grade Duplex stainless steel construction,,,,240,"25 years, 2 years parts",,,,,,,,Fully insulated with 50mm 100% CFC and HCFC-free polyurethane to minimise heat loss,Lightweight construction,High-quality 100% recyclable silver casing,Supplied with high-quality unvented components,Plumbing connection clearly identified with description embossed into cylinder case,Supplied with 28mm coil connections,"Supplied with 22mm hot and cold water connections, nuts and olives",Unvented Cylinder for Heat Pump,,,10mm sensor probe pocket included for heat pump controls,Highly efficient primary coil for rapid exchange of heat from heat pump,Long-life 3kW Incoloy immersion heater supplied,ErP C-rated,Supplied with all safety controls required by UK Building Regulations,25 year cylinder warranty,,22mm Compression,545mm,3 bar,31 kg,Yes,Indirect,50mm CFC/HCFC free,Stainless Steel,120 l,2 years parts warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P178138,Prolite Heatpump Unvented 150 ltr Pk,Prolite,910.0,"Offering high levels of performance, this UK Cylinders Prolite 150L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite Heatpump Unvented 150 ltr Pk,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,,Silver,,N,,,178138 PK,,N,For domestic use,,,,230,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,,,,,,,,Duplex stainless steel construction,Silver colour,22mm compression fittings,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,,Domestic,,,,,,,,,,22mm compression fittings,545mm,3 bar,37Kg,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,150 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P178139,Prolite Heatpump Unvented 200 ltr Pk,Prolite,1050.0,"Offering high levels of performance, this UK Cylinders Prolite 200L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite Heatpump Unvented 200 ltr Pk,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,,Silver,,N,,,178139 PK,,N,For domestic use,,,,230,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,,,,,,,,Duplex stainless steel construction,Silver colour,22mm compression fittings,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,,Domestic,,,,,,,,,,22mm compression fittings,545mm,7 bar,49kg,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,200 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P178143,Prolite Heatpump Slim Unvented 150 ltr Pk,Prolite,1050.0,"Offering high levels of performance, this UK Cylinders Prolite 150L capacity slimline unvented indirect cylinder incorporates a fill and flush valve for ease of use. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite Heatpump Slim Unvented 150 ltr Pk,,Prolite Heat Pump Cylinder;supplied components,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/28/175028_wm.jpg,,Silver,,N,,,178143 PK,,N,"Includes three-port full bore, 28mm compression DHW and CH valve",,,,240,"25 Year for Cylinder, 2 years for supplied components.",,,,,,,,With fill and flush valve with servicing ports,Use valve to fill and flush system using cleaning chemicals or water treatment,G3 compliant cold feed pipework,"Includes tundish, drain point, filling loop and 3 bar inlet control set","28mm full bore, high gain and high flow coil reduces noise and improves recovery times",22mm compression connections,Duplex stainless steel construction,Heat Pump Cylinder,,,Silver colour,With 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,,,,22mm Compression,475mm,3 bar,43,Yes,Indirect,CFC and HCFC free Polyurethane,Duplex Stainless Steel,150 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P178144,Prolite Heatpump Sliml Unvented 170 ltr Pk,Prolite,1130.0,"Offering high levels of performance, this UK Cylinders Prolite 170L capacity slimline unvented indirect cylinder incorporates a fill and flush valve for ease of use. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite Heatpump Sliml Unvented 170 ltr Pk,,Prolite Heat Pump Cylinder;supplied components,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/29/175029_wm.jpg,,Silver,,N,,,178144 PK,,N,"Includes three-port full bore, 28mm compression DHW and CH valve",,,,240,"25 Year for Cylinder, 2 years for supplied components.",,,,,,,,With fill and flush valve with servicing ports,Use valve to fill and flush system using cleaning chemicals or water treatment,G3 compliant cold feed pipework,"Includes tundish, drain point, filling loop and 3 bar inlet control set","28mm full bore, high gain and high flow coil reduces noise and improves recovery times",22mm compression connections,Duplex stainless steel construction,Heat Pump Cylinder,,,Silver colour,With 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,,,,22mm Compression,475mm,3 bar,36,Yes,Indirect,CFC and HCFC free Polyurethane,Duplex Stainless Steel,170 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P241048,CenterRad Deco radiator pack 450mm SG 400mm 877B,CenterRad,67.52,"The contemporary CenterRad Deco vertical flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 877 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Offers and promotions/Trade Deals/Trade Deals.csv -> CenterRad Deco radiator pack 450mm SG 400mm 877B,,Flat panel radiator;Fixing brackets;Vents and plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/241045_241072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/34363_CenterRad_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/co/32024_Tech_Sheet_CenterRad_Deco.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P240228,Stelrad Fantasia Fluid electric towel radiator 1266 x 550mm White,Stelrad,126.96,"With its elegantly rounded tubes, the white Stelrad Fantasia Fluid electric towel radiator is designed to seamlessly blend into any bathroom or kitchen. An environmentally friendly alternative to traditional radiators, this unit uses simple electric elements based in a maintenance-free fluid to introduce reliable, comfortable heating into a room, providing both space heating and towel warming at once. Easy to install using the supplied cable, the Fantasia incorporates a wide range of clever functions, including a boost mode for extra heat just when it's needed and a holiday function that will protect your home heating when you're not around.",Offers and promotions/Trade Deals/Trade Deals.csv -> Stelrad Fantasia Fluid electric towel radiator 1266 x 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/28/240228_wm.jpg,,White,Fantasia Fluid,N,,,E003-1266-0550,Electric Radiator - Fluid,N,With 22 horizontal round tubes and semi-oval manifolds,,,,230,"5 Years (Heating Parts), 2 Years (Electric Components)",,30,,,,,,Internal fluid is heated via immersed electrical element,Fluid is maintenance-free,Specially formulated fluid distributes heat quickly and evenly,Colour-coordinated push button digital control and LCD display on bottom,ASV safety system maintains pressure,ASV preserves mechanical characteristics even when exposed to high wear cycles,Behavioural indicator function helps to reduce energy consumption,,,,With 900mm colour-coordinated cable (no plug) for spur wiring,Holiday function maintains anti-freeze mode during absence,Automatically reactivates when set number of days pass,LOT20 compliant,IP34 rated,5 year warranty on heating parts,,,,,,,,,Steel,,2 year warranty on electrical components,,,0.7 kW,IP34,Wall,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P178140,Prolite SS Direct Cylinder 150 ltr Pk,Prolite,515.0,"Built in a high-grade, long-lasting Duplex stainless steel, the UK Cylinders ProLite 150L unvented direct cylinder is designed for a reliably long lifetime. Incorporating top-quality internal components, this tough cylinder provides fast flowing water to outlets throughout the home with fast reheat, excellent performance and minimal heat loss thanks to 50mm thick CFC and HCFC-free lagging.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite SS Direct Cylinder 150 ltr Pk,,Cylinder;Cold water inlet set;Two port zone valve;Dual thermostat;3kW immersion heater;Expansion vessel;Tundish;T&P relief valve;T&P valve insulated cover,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/15/NW-175012_175015_wm.jpg,,,,N,,,178140 PK,Direct Cylinder,N,High-grade Duplex stainless steel cylinder,,,,,25 Year,,,,,,,,"Fully insulated with 50mm 100% CFC and HCFC-free polyurethane, minimising heat loss",Lightweight construction with silver finish,High-quality unvented components,Plumbing connection is clearly identified and accessible at front of cylinder,22mm compression connections,Highly efficient primary coil reduces reheat times,ErP C-rated,,,,25 year warranty,,,,,,,,545mm,,,,,,Stainless Steel,150 l,,,,,,Vertical,,22 mm,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P178142,Prolite SS Direct Cylinder 200 ltr Pk,Prolite,590.0,"Built in a high-grade, long-lasting Duplex stainless steel, the UK Cylinders ProLite 200L unvented direct cylinder is designed for a reliably long lifetime. Incorporating top-quality internal components, this tough cylinder provides fast flowing water to outlets throughout the home with fast reheat, excellent performance and minimal heat loss thanks to 50mm thick CFC and HCFC-free lagging.",Offers and promotions/Trade Deals/Trade Deals.csv -> Prolite SS Direct Cylinder 200 ltr Pk,,Cylinder;Cold water inlet set;Two port zone valve;Dual thermostat;3kW immersion heater;Expansion vessel;Tundish;T&P relief valve;T&P valve insulated cover,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/15/NW-175012_175015_wm.jpg,,,,N,,,178142 PK,Direct Cylinder,N,High-grade Duplex stainless steel cylinder,,,,,25 Year,,,,,,,,"Fully insulated with 50mm 100% CFC and HCFC-free polyurethane, minimising heat loss",Lightweight construction with silver finish,High-quality unvented components,Plumbing connection is clearly identified and accessible at front of cylinder,22mm compression connections,Highly efficient primary coil reduces reheat times,ErP C-rated,,,,25 year warranty,,,,,,,,545mm,,,,,,Stainless Steel,200 l,,,,,,Vertical,,22 mm,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
