,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Operating Temperature Range (C),Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Connection Type 2,Feature 7,Feature 8,Feature 9,Connection Type,End Connection B size,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Feature 14,Colour,Weight,Standards,Attachment 8,Attachment 9,Attachment 10,Attachment 11
19,P519811,KUT K611 MALE COUPLING              22X1,Pegler,12.75,"This Kuterlite K611 22mm x 1"" coupling with copper x BSP male taper thread ends is a non-manipulative (Type A) duplex brass compression fitting. It is suitable for use on closed circuit central heating systems, in above ground hot and cold water services, on compressed air lines, in oil and other fluids and in LPG and low pressure gas services. This fitting is made up of a one piece body and includes symmetrical compression rings made of dezincification-resistant alloy and hexagonal duplex brass nuts.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> KUT K611 MALE COUPLING              22X1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/12/NW-519810_519812_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_Pro_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bl/es/Pegler_Pressure_Loss_Tables.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_WRAS_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/ve/Pegler_KuterlitPrsrDropChartChkValve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_CompressionFitting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kuterlite_600_900_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_900_Pro_KIWA_Cert.pdf,,,,,,,,
20,PP64516,GFP 180MM COUPLER EF SDR11,Georg Fischer,39.27,"This Georg Fischer ELGEF Plus SDR11 180 x 180mm coupler is made of polyethylene with suitability for use in transport lines, distribution lines, gas/water, 10 bar gas/16 bar water and industrial pressure applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> GFP 180MM COUPLER EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/16/NW-P64516_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_ELGEF_Plus_16bar_Couplr_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_D400mm_Coupler_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GF_ELGEF_Plus_Electro_Coupler_Instal.pdf,,,,,,,,,,
21,PF50812,"Georg Fischer Aquasystem female adaptor union 1.1/2"" x 50mm",Georg Fischer,194.65,"This Georg Fischer Aquasystem 1 1/2"" x 50mm female adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem female adaptor union 1.1/2"" x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/08/F50808_wm.jpg,,,,1-1/2 x 50 mm,1.1/2 x 50,Aquasystem,N,WRAS,Unequal,1-1/2 inch,50 mm,PP-R,0 to 90,1 1/2'' x 50mm,Socket Fusion,4302905030021,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,
22,PF50749,Georg Fischer Aquasystem saddle with spigot 90 x 32mm,Georg Fischer,5.29,"This Georg Fischer Aquasystem 90 x 32mm saddle with spigot (G-type) is part of a light, economical and corrosion-free polypropylene-random piping system. Suitable for commercial use, it can be used for riser and distribution runs in heating, domestic hot water, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem saddle with spigot 90 x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/50/NW-F50749_F50750_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PM32494,"Geberit FlowFit 620.540.00.1 Female bend adaptor 90° 16mm x 1/2""",Geberit,12.25,"Part of a comprehensive system, this Geberit FlowFit 16mm x 1/2"" 90° female bend adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technic","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.540.00.1 Female bend adaptor 90° 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32494_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21956,Unequal,16 mm,,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),,Fe90° 16mm x 1/2,,620.540.00.1,Female Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,12,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
24,PP96048,"TP RV0.MAL upvc socket 3""",TP,25.13,"This TP 3 x 3"" double socket is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.MAL upvc socket 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P96041_P96050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PP96653,"TP RB0.TIL 90deg abs equal tee 1""",TP,12.21,"This TP RB0.TIL 1 x 1 x 1"" 90° equal tee is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.TIL 90deg abs equal tee 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/59/NW-P96651_P96659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF50764,Georg Fischer Aquasystem union 63mm,Georg Fischer,97.21,"This Georg Fischer Aquasystem 63mm union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem union 63mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/59/F50759_wm.jpg,,,,63mm,63mm,Aquasystem,N,WRAS,Equal,63 mm,25 mm,PP-R Copolymer,0 to 90,63 mm,Press fit,4302906328521,Union,N,Lightweight design,Resistant to corrosion,Low expansion and low thermal conductivity,High strength build,Low maintenance,Abrasion resistant,female,Press fit,PP-R Copolymer construction,With press-fit connections,WRAS approved,,,,,,,,,,,,,,,,,,
27,PP45839,"Philmac 3G reducing set 63mm - 2"" x 50mm - 1.1/2""",Philmac,16.62,"This Philmac 3G reducing set with 63mm/2"" x 50mm/1 1/2"" metric/imperial end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G reducing set 63mm - 2"" x 50mm - 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/39/NW-P45838_P45839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PF50803,"Georg Fischer Aquasystem male adaptor union 1"" x 32mm",Georg Fischer,97.35,"This Georg Fischer Aquasystem 1"" x 32mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem male adaptor union 1"" x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,,,,1 x 32 mm,1 x 32,Aquasystem,N,WRAS,Unequal,1 inch,32 mm,PP-R,0 to 90,1¼ x 32mm,Socket Fusion,4302703230121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,
29,PP04626,"Georg Fischer PROGEF PP adaptor nipple 40mm x 1.1/4""",Georg Fischer,26.97,"This Georg Fischer PROGEF 40mm x 1 1/4"" metric standard adapter nipple is made of PP-H and has a metric fusion spigot and R tapered male thread connections. It is suitable for use in waste treatment, the chemical process industry, cooling water processing and in water treatment applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer PROGEF PP adaptor nipple 40mm x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/26/NW-P04626_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_PROGEF_Standard_System_Spec_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_PROGEF_Std_Adaptor_Nipple_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_PROGEF_Piping_System_Technical.pdf,,,,,,,,,,
30,PM32429,"Geberit FlowFit 620.303.00.1 Male adaptor 32mm x 1""",Geberit,14.45,"Geberit FlowFit is the innovative supply system that facilitates the perfect installation process. Everything that makes work on the building site difficult and cumbersome has been deliberately avoided.  Plumbers played a key role in the development phase of FlowFit, enabling Geberit to reduce everything that makes working on building sites difficult and cumbersome.  Six features that make FlowFit easy to install: •Deburring and calibration of the pipes is not necessary; No more calibration when cutting to length •The windows in the fitting allow the correct insertion depth to be checked at a glance; no more uncertainty when inserting •The fitting is laterally pressed and rotatable. This allows for convenient and reliable pressing in even the tightest of spaces; No more contorsion when pressing •All standard pipe diameters are available to choose from. The installation of all diameters is carried out with just two different pressing jaws and without the need for constant tool changes; No gaps in the produ","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.303.00.1 Male adaptor 32mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32429_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21952,Unequal,32 mm,,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),,32mm x 1,,620.303.00.1,Male Adaptor,N,For cold and hot potable water,For cooling and heating water without antifreeze agent,For cooling and heating water with antifreeze agent,For service water and process water,For treated water,For rainwater with a pH value of <gt/> 6.0,,,For seawater,For extinguishing water (wet),"For extinguishing water (wet/dry, dry)",Press Fit,1,For chemicals and technical liquids,For compressed air (oil purity class 0–3),For negative pressure,For inert gases (e.g. nitrogen),,,,,"For technical building systems, industry and shipbuilding",,,,,,,
31,PP16580,VULC L3912 ENF REDUCING COUPLER    51X38,Durapipe,35.09,"Enabling the changing of one pipe size to another, the Durapipe Vulcathene L3912 51 x 38mm reducing coupler is made of virgin-grade polypropylene with an Enfusion socket on one end and a spigot on the other, fused into a larger Enfusion socket.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> VULC L3912 ENF REDUCING COUPLER    51X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/NW-P16580_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
